candidate,baseline,semantics,sufficient_single_boost,reliability_form_boost,nonsufficient_colour_penalty,summary_type,conditions,relevant_property,sharpness,category,baseline_signed_residual,candidate_signed_residual,baseline_abs_residual,candidate_abs_residual,abs_residual_reduction
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,0.5,selection,erdc,first,sharp,size_colour,0.23925455051114358,0.24568264322926797,0.23925455051114358,0.24568264322926797,-0.00642809271812439
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,brcf,both,blurred,redundant_form,-0.37476751980958156,-0.24496445832429103,0.37476751980958156,0.24496445832429103,0.12980306148529053
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,brcf,both,sharp,redundant_form,-0.3885151583050924,-0.25547729314319667,0.3885151583050924,0.25547729314319667,0.13303786516189575
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,brdc,both,blurred,redundant_form,-0.40113678606154646,-0.3065782490551683,0.40113678606154646,0.3065782490551683,0.09455853700637817
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,brdc,both,sharp,redundant_form,-0.2885732563068094,-0.2201238186885538,0.2885732563068094,0.2201238186885538,0.06844943761825562
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,brdf,both,blurred,redundant_form,-0.3417194359618704,-0.27212928465190334,0.3417194359618704,0.27212928465190334,0.06959015130996704
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,brdf,both,sharp,redundant_form,-0.21514443083414958,-0.16704777403483317,0.21514443083414958,0.16704777403483317,0.048096656799316406
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,brcf,both,blurred,colour_only,0.2737116643886297,0.12004321605965784,0.2737116643886297,0.12004321605965784,0.15366844832897186
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,brcf,both,sharp,colour_only,0.28257425862645347,0.12750730651711661,0.28257425862645347,0.12750730651711661,0.15506695210933685
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,brdc,both,blurred,colour_only,0.23819174635957913,0.0989723058397694,0.23819174635957913,0.0989723058397694,0.13921944051980972
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,brdc,both,sharp,colour_only,0.18999741971492767,0.07948530465364456,0.18999741971492767,0.07948530465364456,0.11051211506128311
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,brdf,both,blurred,colour_only,0.14923502969485458,0.055403103110610794,0.14923502969485458,0.055403103110610794,0.09383192658424379
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,brdf,both,sharp,colour_only,0.01596544091663664,-0.053026246232172794,0.01596544091663664,0.053026246232172794,-0.037060805315536155
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,zrdc,second,blurred,colour_only,-0.2347796768002619,-0.2347796768002619,0.2347796768002619,0.2347796768002619,0.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,zrdc,second,sharp,colour_only,-0.3577248061460162,-0.3577248061460162,0.3577248061460162,0.3577248061460162,0.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,overinformativeness,zrdc,second,blurred,over_minimal_length,0.23269224198406968,0.23269224198406968,0.23269224198406968,0.23269224198406968,0.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,overinformativeness,zrdc,second,sharp,over_minimal_length,0.32736308044857454,0.32736308044857454,0.32736308044857454,0.32736308044857454,0.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,erdc,first,blurred,size_only,0.00217596976765657,0.0064267718673613125,0.00217596976765657,0.0064267718673613125,-0.004250802099704742
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,erdc,first,sharp,size_only,-0.19984038117753555,-0.19731009695159485,0.19984038117753555,0.19731009695159485,0.0025302842259407043
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,erdc,first,blurred,size_colour,0.2041314938761267,0.22241726012006133,0.2041314938761267,0.22241726012006133,-0.01828576624393463
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.0,selection,erdc,first,sharp,size_colour,0.23925455051114358,0.24972550707509317,0.23925455051114358,0.24972550707509317,-0.010470956563949585
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,brcf,both,blurred,redundant_form,-0.37476751980958156,-0.20614299950776271,0.37476751980958156,0.20614299950776271,0.16862452030181885
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,brcf,both,sharp,redundant_form,-0.3885151583050924,-0.21544794620029506,0.3885151583050924,0.21544794620029506,0.17306721210479736
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,brdc,both,blurred,redundant_form,-0.40113678606154646,-0.2797581258595201,0.40113678606154646,0.2797581258595201,0.12137866020202637
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,brdc,both,sharp,redundant_form,-0.2885732563068094,-0.20172714310185336,0.2885732563068094,0.20172714310185336,0.08684611320495605
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,brdf,both,blurred,redundant_form,-0.3417194359618704,-0.2537091248351614,0.3417194359618704,0.2537091248351614,0.08801031112670898
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,brdf,both,sharp,redundant_form,-0.21514443083414958,-0.15480742378840373,0.21514443083414958,0.15480742378840373,0.06033700704574585
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,brcf,both,blurred,colour_only,0.2737116643886297,0.07438976855084589,0.2737116643886297,0.07438976855084589,0.1993218958377838
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,brcf,both,sharp,colour_only,0.28257425862645347,0.08111805456971366,0.28257425862645347,0.08111805456971366,0.2014562040567398
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,brdc,both,blurred,colour_only,0.23819174635957913,0.05947190541576581,0.23819174635957913,0.05947190541576581,0.17871984094381332
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,brdc,both,sharp,colour_only,0.18999741971492767,0.049775198101997375,0.18999741971492767,0.049775198101997375,0.1402222216129303
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,brdf,both,blurred,colour_only,0.14923502969485458,0.030563306984721973,0.14923502969485458,0.030563306984721973,0.11867172271013261
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,brdf,both,sharp,colour_only,0.01596544091663664,-0.07059819470085794,0.01596544091663664,0.07059819470085794,-0.054632753784221305
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,zrdc,second,blurred,colour_only,-0.2347796768002619,-0.2347796768002619,0.2347796768002619,0.2347796768002619,0.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,zrdc,second,sharp,colour_only,-0.3577248061460162,-0.3577248061460162,0.3577248061460162,0.3577248061460162,0.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,overinformativeness,zrdc,second,blurred,over_minimal_length,0.23269224198406968,0.23269224198406968,0.23269224198406968,0.23269224198406968,0.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,overinformativeness,zrdc,second,sharp,over_minimal_length,0.32736308044857454,0.32736308044857454,0.32736308044857454,0.32736308044857454,0.0
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,erdc,first,blurred,size_only,0.00217596976765657,0.007489910113897567,0.00217596976765657,0.007489910113897567,-0.005313940346240997
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,erdc,first,sharp,size_only,-0.19984038117753555,-0.1967042306386142,0.19984038117753555,0.1967042306386142,0.003136150538921356
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,erdc,first,blurred,size_colour,0.2041314938761267,0.22699191660657256,0.2041314938761267,0.22699191660657256,-0.022860422730445862
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,1.5,selection,erdc,first,sharp,size_colour,0.23925455051114358,0.25223304467847146,0.23925455051114358,0.25223304467847146,-0.01297849416732788
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,principled_salience_stop_regularized_2x2_inc_rec,context_updating,0.0,0.0,2.0,selection,brcf,both,blurred,redundant_form,-0.37476751980958156,-0.18032792983231716,0.37476751980958156,0.18032792983231716,0.1944395899772644
