model,semantics,sufficient_single_boost,reliability_form_boost,nonsufficient_colour_penalty,summary_type,scope,n_cells,mae,rmse,kl_empirical_to_model
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.0,3.0,0.0,utterance_cells,overall,270,0.05082231383066528,0.09819752062129054,0.5524815173567437
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.0,3.0,0.5,utterance_cells,overall,270,0.05078032054823694,0.09818973569217193,0.5629022922012842
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.0,3.0,1.0,utterance_cells,overall,270,0.05077999453404572,0.09819435864079225,0.5749228164632108
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.0,3.0,1.5,utterance_cells,overall,270,0.05081746679396662,0.09820070309972193,0.5879224741083804
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.0,3.0,2.0,utterance_cells,overall,270,0.050849844602055536,0.09820587781068175,0.6015193199852416
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.0,3.0,3.0,utterance_cells,overall,270,0.0508930605489931,0.09821189667124652,0.6296607963199999
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,0.0,0.0,utterance_cells,overall,270,0.05397272817276717,0.10171359676174793,0.5210990974468311
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,0.0,0.5,utterance_cells,overall,270,0.05232504294234043,0.09659767780533687,0.48456153544335184
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,0.0,1.0,utterance_cells,overall,270,0.05131822065483965,0.09401712153189594,0.4657578000125946
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,0.0,1.5,utterance_cells,overall,270,0.05071543127243546,0.09280801838603968,0.4590578691785305
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,0.0,2.0,utterance_cells,overall,270,0.050379832319682,0.09226024129176623,0.46029753613966384
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,0.0,3.0,utterance_cells,overall,270,0.05005900300910958,0.09189602291269719,0.47607845851727293
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,0.5,0.0,utterance_cells,overall,270,0.049123486045761604,0.09217317930861074,0.44329166375828416
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,0.5,0.5,utterance_cells,overall,270,0.047953235331260516,0.08888342163817711,0.4215609755634938
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,0.5,1.0,utterance_cells,overall,270,0.047273676849252426,0.08730166426167223,0.4129327644454758
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,0.5,1.5,utterance_cells,overall,270,0.04693671129540103,0.08656841386400434,0.4129389497974967
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,0.5,2.0,utterance_cells,overall,270,0.04674253440013304,0.08622829134211712,0.4184699732867678
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,0.5,3.0,utterance_cells,overall,270,0.04659465631929294,0.08598524664423782,0.43861107473602645
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,1.0,0.0,utterance_cells,overall,270,0.046516437999018875,0.08715965491499915,0.4030235017858171
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,1.0,0.5,utterance_cells,overall,270,0.04591160510150215,0.08540614937568035,0.3929426079455246
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,1.0,1.0,utterance_cells,overall,270,0.04563544303430535,0.08460326618439394,0.3920149880258319
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,1.0,1.5,utterance_cells,overall,270,0.04547441817506921,0.08423842472126486,0.3969584346285553
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,1.0,2.0,utterance_cells,overall,270,0.045375663333561675,0.08406892736712968,0.40559091229213573
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,1.0,3.0,utterance_cells,overall,270,0.045354143964594876,0.08394509852866845,0.42883657028671446
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,1.5,0.0,utterance_cells,overall,270,0.0453717138054284,0.08541765386249736,0.3921530215926513
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,1.5,0.5,utterance_cells,overall,270,0.04509346767634803,0.08462344493451229,0.3905647690805148
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,1.5,1.0,utterance_cells,overall,270,0.04492703495452313,0.08427715906683303,0.3950915026606841
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,1.5,1.5,utterance_cells,overall,270,0.04482083225368379,0.08412468170297777,0.4034649765870202
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,1.5,2.0,utterance_cells,overall,270,0.04478382914359713,0.08405526370663703,0.4142252070417064
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,1.5,3.0,utterance_cells,overall,270,0.04481909740141861,0.08400536464503768,0.43957990933956714
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,2.0,0.0,utterance_cells,overall,270,0.045204318847131164,0.08533056155395002,0.4026047555273354
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,2.0,0.5,utterance_cells,overall,270,0.04501176055988494,0.08501677228852506,0.40685094871813665
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,2.0,1.0,utterance_cells,overall,270,0.04489190699014496,0.08488797423930837,0.4150498431749158
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,2.0,1.5,utterance_cells,overall,270,0.04484400076034511,0.08483451715373509,0.4257025106139694
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,2.0,2.0,utterance_cells,overall,270,0.04483901763497587,0.08481164559690113,0.43786493854985725
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,2.0,3.0,utterance_cells,overall,270,0.04490107298335381,0.08479653727863033,0.4646006502867006
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,3.0,0.0,utterance_cells,overall,270,0.04607543315142248,0.0863387048667007,0.46223701014874385
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,3.0,0.5,utterance_cells,overall,270,0.04602297340125402,0.08630905999162028,0.4727755386117054
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,3.0,1.0,utterance_cells,overall,270,0.04601625740293699,0.08630128236686581,0.4848680205247377
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,3.0,1.5,utterance_cells,overall,270,0.04604978457493443,0.08630043572485967,0.4979115426405724
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,3.0,2.0,utterance_cells,overall,270,0.04608006299790209,0.08630137348117538,0.5115350741607185
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,0.5,3.0,3.0,utterance_cells,overall,270,0.04611864447766402,0.08630335347095676,0.5397025965670378
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,0.0,0.0,utterance_cells,overall,270,0.04960300189059911,0.09275941820705641,0.4601169343971621
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,0.0,0.5,utterance_cells,overall,270,0.047987990302985395,0.08721776350133616,0.4258045872531614
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,0.0,1.0,utterance_cells,overall,270,0.046936796892944506,0.08436397413647741,0.4084914013824004
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,0.0,1.5,utterance_cells,overall,270,0.04634441610572744,0.08299537556726683,0.40275519790874303
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,0.0,2.0,utterance_cells,overall,270,0.0459793879566264,0.0823579451714747,0.40460343963189643
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,0.0,3.0,utterance_cells,overall,270,0.045611984896943535,0.08191479657036525,0.4209959729694055
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,0.5,0.0,utterance_cells,overall,270,0.04474154614224058,0.08229709554806647,0.38166506534396183
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,0.5,0.5,utterance_cells,overall,270,0.04355287515424965,0.07863056405065379,0.3614602548447893
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,0.5,1.0,utterance_cells,overall,270,0.0428762172361305,0.07682863332149102,0.35382226940429296
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,0.5,1.5,utterance_cells,overall,270,0.042495120826387886,0.07597346687061775,0.3544552578109237
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,0.5,2.0,utterance_cells,overall,270,0.04227104288293411,0.07556636202927536,0.36037668553587965
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,0.5,3.0,utterance_cells,overall,270,0.04209488541287376,0.07526469498342447,0.3809059677062631
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,1.0,0.0,utterance_cells,overall,270,0.041878398326083345,0.07671778230211292,0.3404182847954718
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,1.0,0.5,utterance_cells,overall,270,0.041279399157288475,0.07471416723616382,0.33132724488760956
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,1.0,1.0,utterance_cells,overall,270,0.04096400103700886,0.07377531471545773,0.3310272541777572
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,1.0,1.5,utterance_cells,overall,270,0.04076776781685189,0.07333746470106906,0.33636205117103307
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,1.0,2.0,utterance_cells,overall,270,0.04064354944030879,0.0731281400794111,0.345235975119738
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,1.0,3.0,utterance_cells,overall,270,0.040596875875581584,0.0729692620661395,0.3687199488983755
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,1.5,0.0,utterance_cells,overall,270,0.040754908642628505,0.07485806255736693,0.3285712716096644
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,1.5,0.5,utterance_cells,overall,270,0.0404087134081325,0.07393351265491165,0.32760336496292886
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,1.5,1.0,utterance_cells,overall,270,0.040191951971043006,0.07351928994009456,0.3325171593874294
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec,context_updating,1.0,1.5,1.5,utterance_cells,overall,270,0.04005472676864615,0.07333078486092774,0.34112953295688375
