model,semantics,lambda_size_sharp_single_bonus,lambda_size_sharp_form_pair_penalty,n_cells,mae,rmse
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,0.0,2.5,90,0.024237613537730067,0.04171976036249965
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,0.5,0.0,90,0.0218312595784718,0.03833788937377129
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,0.5,0.5,90,0.02083693339794829,0.03333091136648188
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,0.5,1.0,90,0.020508182923402153,0.03284002102467012
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,0.5,1.5,90,0.021468271112136807,0.034822558625086195
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,0.5,2.0,90,0.022227240269563447,0.037260667237620185
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,0.5,2.5,90,0.022906212721001774,0.03928112535234548
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,1.0,0.0,90,0.02055202638225709,0.03503364438868665
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,1.0,0.5,90,0.019644608183953086,0.03195926686848621
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,1.0,1.0,90,0.02060067828584069,0.032999119993658725
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,1.0,1.5,90,0.0218906882706955,0.035632962374244355
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,1.0,2.0,90,0.02277958741315004,0.038191590587815905
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,1.0,2.5,90,0.02336421808220183,0.040143881801554766
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,1.5,0.0,90,0.021097048395383032,0.034857376715468534
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,context_fixed,1.5,0.5,90,0.02058227413071886,0.035288903687995275
