variant,baseline,semantics,lambda_size_sharp_single_bonus,lambda_size_sharp_form_pair_penalty,condition_rmse,baseline_condition_rmse,condition_rmse_delta,first_sharp_DF_abs_residual,first_sharp_DF_baseline_abs_residual,first_sharp_DF_abs_residual_reduction,first_sharp_D_abs_residual,first_sharp_D_baseline_abs_residual,first_sharp_D_abs_residual_reduction,second_sharp_CF_abs_residual,second_sharp_CF_baseline_abs_residual,second_sharp_CF_abs_residual_worsening,full_inference_gate,gate_reason,rank_score,recommended_for_gpu_pilot,first_sharp_df_gate,first_sharp_d_gate,second_sharp_cf_max_worsening,max_condition_rmse_delta
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,0.5,0.033394983765279364,0.042275373226354454,-0.00888038946107509,0.0726066103882452,0.2156961331092029,0.1430895227209577,0.06109742969582205,0.1558385038696437,0.09474107417382166,0.08607315403878207,0.08607314408771574,9.951066332059e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.23783059689477937,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.5,0.5,0.03333091136648188,0.042117203349869105,-0.008786291983387227,0.07087663567531857,0.2135669657908588,0.14269033011554022,0.06112890885468367,0.15574414971696426,0.0946152408622806,0.0858520280231761,0.08585202575676024,2.2664158605412155e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.23730557097782082,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.5,2.0,0.03719937033862263,0.042275373226354454,-0.005076002887731822,0.14143870170535894,0.2156961331092029,0.07425743140384397,0.0037947309833056275,0.1558385038696437,0.15204377288633808,0.08607315403878207,0.08607314408771574,9.951066332059e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.22630120429018205,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.5,2.0,0.037260667237620185,0.042117203349869105,-0.00485653611224892,0.1420966965326958,0.2135669657908588,0.071470269258163,0.003283363192831734,0.15574414971696426,0.15246078652413253,0.0858520280231761,0.08585202575676024,2.2664158605412155e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.22393105578229552,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,1.0,0.0,0.0351825652622816,0.042275373226354454,-0.007092807964072856,0.1436451674173582,0.2156961331092029,0.07205096569184471,0.011828870387269763,0.1558385038696437,0.14400963348237394,0.08607315403878207,0.08607314408771574,9.951066332059e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.21606059917421866,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.0,0.0,0.03503364438868665,0.042117203349869105,-0.007083558961182457,0.14181371982234556,0.2135669657908588,0.07175324596851324,0.011648237351262691,0.15574414971696426,0.14409591236570157,0.0858520280231761,0.08585202575676024,2.2664158605412155e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.2158491583342148,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,0.0,1.5,0.037138434978391956,0.042275373226354454,-0.005136938247962498,0.0760835495279657,0.2156961331092029,0.1396125835812372,0.09499709691884375,0.1558385038696437,0.06084140695079995,0.08607315403878207,0.08607314408771574,9.951066332059e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.20045399053203716,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,1.5,0.037226117020759696,0.042117203349869105,-0.004891086329109409,0.07718738778406134,0.2135669657908588,0.13637957800679745,0.09528363973710219,0.15574414971696426,0.060460509979862076,0.0858520280231761,0.08585202575676024,2.2664158605412155e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.19684008798665953,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,context_updating,1.5,0.0,0.03497478966744146,0.042275373226354454,-0.007300583558912992,0.09052577678264992,0.2156961331092029,0.125170356326553,0.09410313403856735,0.1558385038696437,0.06173536983107636,0.08607315403878207,0.08607314408771574,9.951066332059e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.18690572615762935,False,0.05,0.04,0.015,0.001
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,1.5,0.0,0.034857376715468534,0.042117203349869105,-0.007259826634400571,0.08892484056419817,0.2135669657908588,0.12464212522666063,0.0943226792086792,0.15574414971696426,0.06142147050828506,0.0858520280231761,0.08585202575676024,2.2664158605412155e-09,pass,target residuals pass without unacceptable second/sharp CF or RMSE harm,0.18606359573494569,False,0.05,0.04,0.015,0.001
