relevant_property,sharpness,utterance_label,model_proportion,utterance_code,model,semantics,lambda_size_sharp_single_bonus,lambda_size_sharp_form_pair_penalty,empirical_proportion,condition_n,signed_residual,abs_residual
first,blurred,C,0.019362526014447212,5,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.005415162454873646,554,0.013947363559573565,0.013947363559573565
first,blurred,CD,0.0022398282308131456,6,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0018050541516245488,554,0.00043477407918859684,0.00043477407918859684
first,blurred,CDF,0.028999390080571175,7,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.039711191335740074,554,-0.0107118012551689,0.0107118012551689
first,blurred,CF,0.06738848984241486,8,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.08664259927797834,554,-0.01925410943556348,0.01925410943556348
first,blurred,CFD,0.007329798769205809,9,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.0,554,0.007329798769205809,0.007329798769205809
first,blurred,D,0.0999244675040245,0,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.05595667870036101,554,0.0439677888036635,0.0439677888036635
first,blurred,DC,0.057468533515930176,1,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.04332129963898917,554,0.014147233876941008,0.014147233876941008
first,blurred,DCF,0.19678783416748047,2,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.2996389891696751,554,-0.1028511550021946,0.1028511550021946
first,blurred,DF,0.39123377203941345,3,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.36462093862815886,554,0.02661283341125459,0.02661283341125459
first,blurred,DFC,0.0469510518014431,4,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.032490974729241874,554,0.014460077072201226,0.014460077072201226
first,blurred,F,0.04941597953438759,10,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.03790613718411552,554,0.011509842350272068,0.011509842350272068
first,blurred,FC,0.019296394661068916,13,principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.0,0.016245487364620937,554,0.0030509072964479793,0.0030509072964479793
