model,architecture,semantics,rank,elpd_loo,delta_elpd_from_best,delta_elpd_vs_matched_global,delta_elpd_vs_matched_context_updating,p_loo,elpd_diff,dse,loo_warning,r,r2,mae,rmse,delta_rmse_vs_matched_global,delta_rmse_vs_matched_context_updating,diagnostic_status,diagnostics_ok,posterior_pareto_frontier,max_r_hat,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,n_divergent,divergence_rate,first_sharp_D_abs_residual,first_sharp_D_human_mean,first_sharp_D_model_mean,first_sharp_DF_abs_residual,first_sharp_DF_human_mean,first_sharp_DF_model_mean,second_sharp_CF_abs_residual,second_sharp_CF_human_mean,second_sharp_CF_model_mean,both_sharp_DC_abs_residual,both_sharp_DC_human_mean,both_sharp_DC_model_mean,both_sharp_DCF_abs_residual,both_sharp_DCF_human_mean,both_sharp_DCF_model_mean
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_static_fixedeps,incremental,context_fixed,0,-5186.92894077301,0.0,360.698205947876,0.4316558837890625,59.04718065261841,0.0,0.0,False,0.9695678023640512,0.9400617233810558,0.0187181667351923,0.0312225932557594,-0.014351672812192698,-4.42759587614e-05,pass,True,True,1.0,0,0,2573.0,3224.0,0,0.0,0.0014860557768924,0.2689243027888446,0.2674382470119522,0.0015418326693227,0.2310756972111553,0.2326175298804781,0.0535714285714285,0.2301587301587301,0.1765873015873016,0.1186481113320079,0.1968190854870775,0.0781709741550695,0.0050854870775348,0.3121272365805169,0.3172127236580517
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_inc_rec_fixedeps,incremental,context_updating,1,-5187.360596656799,-0.4316558837890625,360.5317325592041,,58.8288950920105,0.4316558837890625,0.2231472780506445,False,0.9694841930795688,0.9398996006311426,0.0187421397767011,0.0312668692145208,-0.0143010100320601,,pass,True,True,1.01,0,0,1837.0,3762.0,0,0.0,0.0028247011952191,0.2689243027888446,0.2660996015936255,0.0018406374501991,0.2310756972111553,0.2329163346613545,0.0536865079365079,0.2301587301587301,0.1764722222222222,0.1183419483101391,0.1968190854870775,0.0784771371769383,0.005741550695825,0.3121272365805169,0.3178687872763419
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,global,context_fixed,2,-5547.627146720886,-360.698205947876,,0.2651824951171875,8.57539176940918,360.698205947876,25.177225293786083,False,0.9338550908956706,0.8720853307917613,0.0275896512340179,0.0455742660679521,,6.386821371197338e-06,fail,False,False,1.46,6,1,8.0,25.0,0,0.0,0.0006972111553784,0.2689243027888446,0.2682270916334661,0.0015139442231075,0.2310756972111553,0.2295617529880478,0.1073214285714285,0.2301587301587301,0.1228373015873015,0.1007872763419483,0.1968190854870775,0.0960318091451292,0.0825407554671968,0.3121272365805169,0.22958648111332
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_rec_fixedeps,global,context_updating,3,-5547.892329216003,-360.96338844299316,,,8.879273414611816,360.9633884429931,25.188195039396923,False,0.9338748983472912,0.8721223257631637,0.0275866964077032,0.0455678792465809,,,fail,False,False,1.26,1,1,13.0,38.0,0,0.0,0.002605577689243,0.2689243027888446,0.2663187250996016,0.0003745019920318,0.2310756972111553,0.2307011952191235,0.1075753968253968,0.2301587301587301,0.1225833333333333,0.1010497017892644,0.1968190854870775,0.0957693836978131,0.0817813121272365,0.3121272365805169,0.2303459244532803
