model,parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_rec_fixedeps,lambda_reliability_form,1.871,0.08,1.731,2.03,0.002,0.001,1107.0,1909.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_rec_fixedeps,lambda_sufficient_form_pair,1.547,0.075,1.414,1.693,0.002,0.001,1219.0,2382.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_rec_fixedeps,lambda_three_word_penalty,0.646,0.059,0.54,0.762,0.002,0.001,626.0,1035.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_rec_fixedeps,lambda_size_sharp_single_bonus,0.786,0.147,0.508,1.058,0.005,0.002,1064.0,1674.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_rec_fixedeps,lambda_size_sharp_form_pair_penalty,1.327,0.132,1.092,1.589,0.004,0.002,1318.0,1807.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_rec_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,8000.0,8000.0,
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_rec_fixedeps,tau,0.106,0.098,0.007,0.305,0.025,0.018,13.0,38.0,1.26
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,alpha,0.038,0.038,0.0,0.106,0.003,0.003,183.0,207.0,1.03
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,log_beta_order,0.597,0.027,0.546,0.648,0.002,0.001,291.0,355.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,lambda_salience,1.719,0.068,1.595,1.849,0.005,0.003,206.0,213.0,1.02
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,rho_salience_stop,0.003,0.003,0.0,0.009,0.0,0.0,415.0,590.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,lambda_sufficient_single,2.871,0.077,2.721,3.013,0.004,0.002,335.0,866.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,lambda_reliability_form,1.867,0.084,1.713,2.025,0.008,0.004,112.0,261.0,1.04
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,lambda_sufficient_form_pair,1.547,0.075,1.411,1.692,0.004,0.002,307.0,741.0,1.01
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,lambda_three_word_penalty,0.645,0.058,0.539,0.754,0.005,0.002,149.0,481.0,1.04
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,lambda_size_sharp_single_bonus,0.783,0.144,0.52,1.048,0.009,0.004,246.0,422.0,1.02
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,lambda_size_sharp_form_pair_penalty,1.323,0.133,1.069,1.567,0.008,0.004,294.0,504.0,1.0
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,epsilon,0.003,0.0,0.003,0.003,0.0,0.0,8000.0,8000.0,
principled_salience_stop_regularized_responsepolicy_boundedform_sizesharp_2x2_glob_static_fixedeps,tau,0.095,0.094,0.004,0.268,0.031,0.021,8.0,25.0,1.46
