,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,0,-2815.365885734558,54.04369640350342,0.0,0.920250512268853,44.399724366332094,0.0,True,log
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,1,-2815.3678998947144,53.94517278671265,0.00201416015625,0.05971033710602086,44.400887201640806,0.15533153360003518,True,log
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_rec,2,-2936.2543601989746,2.6447606086730957,120.8884744644165,0.020039150625126134,40.643734542972204,14.757468103534075,True,log
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_static,3,-2936.276271343231,2.6613059043884277,120.9103856086731,0.0,40.646994793971025,14.75723611568744,True,log
