base_d,base_c,base_f,lambda_scale,rho_scale,beta_scale,color_sem,stage,r,r2,mae,rmse,second_c_abs,second_c_signed,both_c_abs,both_c_signed,first_c_abs,balanced_loss
0.0,2.2,0.0,1.25,1.0,1.15,0.8,top_base_param_grid,0.5018838399662094,0.25188738881922773,0.06928353868155138,0.13361458179681296,0.04155546400492366,-0.03431086812490297,0.596429955306407,0.596429955306407,0.2930952653235046,0.4733850234549401
0.0,2.2,0.0,1.25,1.0,1.15,0.7,top_base_param_grid,0.49538906278103056,0.24541032352306785,0.06951088576838185,0.13410137670151415,0.041967630123545485,-0.035398474078119524,0.5863704496053419,0.5863704496053419,0.33492336123643796,0.4692542316277306
0.0,2.2,0.0,1.25,1.0,1.0,0.8,top_base_param_grid,0.48530281157515515,0.23551881892275053,0.07108659243756071,0.13560168312527576,0.042103290295054274,-0.03514610801214052,0.5989670568135939,0.5989670568135939,0.3222877427881805,0.47718850182712697
0.0,2.2,0.0,1.25,1.0,1.0,0.7,top_base_param_grid,0.47641835464157917,0.2269744486393895,0.07190857701270369,0.1367554984314761,0.042406499123026686,-0.03586547646993471,0.5907080882219038,0.5907080882219038,0.3639260426109878,0.4745160416654547
0.0,2.2,0.0,1.25,1.0,0.85,0.8,top_base_param_grid,0.4686832748459821,0.21966401212035438,0.07329328862039934,0.13740581402864568,0.042798608278681594,-0.038288196663797625,0.5976382308629713,0.5976382308629713,0.3481830850189773,0.4790235377388129
0.0,2.2,0.0,1.25,1.0,1.15,0.59,top_base_param_grid,0.4946320860039461,0.24466090050461511,0.06964699376679148,0.13338906836097147,0.0429160592312115,-0.03928702149862123,0.570379477086421,0.570379477086421,0.36160053759275357,0.4614948661353935
0.0,2.2,0.0,1.25,1.0,0.85,0.7,top_base_param_grid,0.45800430159806105,0.20976794028232768,0.07421817999774584,0.13909016908942923,0.04302015874331172,-0.038772961239755876,0.5908931010392866,0.5908931010392866,0.3886109784191696,0.47755687835238425
0.0,2.2,0.0,1.25,1.0,1.0,0.59,top_base_param_grid,0.4737487503874732,0.2244378784936924,0.07217085862390664,0.13660919154401685,0.04312390062754329,-0.03884839091771913,0.5774588399556837,0.5774588399556837,0.38971505015550534,0.468462512149402
0.0,2.2,0.0,1.25,1.25,1.15,0.8,top_base_param_grid,0.4961069428073784,0.24612209870168342,0.07044555138423333,0.1392690619339077,0.043124705290247756,0.016937771697103254,0.638146560731288,0.638146560731288,0.31023969202695767,0.5014670475897994
0.0,2.2,0.0,1.25,1.25,1.0,0.8,top_base_param_grid,0.4812748844933046,0.23162551444404367,0.07245655566494388,0.14121967504740826,0.04355704758112605,0.016395935673772566,0.6415031068948469,0.6415031068948469,0.3410238370245544,0.5055282760759577
0.0,2.2,0.0,1.25,1.0,0.85,0.59,top_base_param_grid,0.45393071439315646,0.2060530934694814,0.0745280591363622,0.13938575513625168,0.04355898473208125,-0.04109778080457521,0.5799960308698378,0.5799960308698378,0.4129268571680633,0.4729427553032518
0.0,2.2,0.0,1.25,1.25,1.15,0.7,top_base_param_grid,0.48977123844268133,0.2398758660056778,0.07106515224584889,0.13977139415233913,0.043576150869776564,0.01541427697664427,0.6275802963403425,0.6275802963403425,0.35465880184827725,0.49713769319228696
0.3,2.2,0.0,1.25,1.0,1.15,0.8,top_base_param_grid,0.5139880587778433,0.26418372456621564,0.07066839704660562,0.13161951047135506,0.04383301708643611,-0.02949403796666933,0.5740967505601606,0.5740967505601606,0.21726678758321685,0.4625009028378715
0.0,2.2,0.0,1.25,1.25,1.0,0.7,top_base_param_grid,0.4727735575655406,0.22351483673317757,0.07323760318086424,0.1423947125889293,0.04389223430102046,0.01530049170976805,0.6328007393506727,0.6328007393506727,0.38531005829034726,0.5026873165652861
0.3,2.2,0.0,1.25,1.0,1.0,0.8,top_base_param_grid,0.49711251121276173,0.24712084880425816,0.07247866678861971,0.13339019047117323,0.04396828982775386,-0.031625649075449236,0.5805290752080641,0.5805290752080641,0.2461822971647827,0.4676230179029591
0.0,2.2,0.0,1.25,1.25,0.85,0.8,top_base_param_grid,0.46662956890088597,0.2177431545726267,0.07440312904249197,0.14294574176010724,0.04414358708803828,0.013676265139638655,0.6410262995389662,0.6410262995389662,0.36848733275590817,0.5076024786176286
0.3,2.2,0.0,1.25,1.0,0.85,0.8,top_base_param_grid,0.4800693684885975,0.2304665985610408,0.0741495792739954,0.13495664541431254,0.04433214638178523,-0.03641091857427431,0.5819060319093428,0.5819060319093428,0.27361914961992184,0.4702418077507692
0.0,2.2,0.0,1.25,1.25,0.85,0.7,top_base_param_grid,0.456495004513517,0.2083876891457959,0.07529237011863119,0.14465915979744934,0.04439115498011287,0.01286656584268736,0.6338858419088087,0.6338858419088087,0.41159889548479,0.5059932357319665
0.0,2.2,0.0,1.25,1.25,1.15,0.59,top_base_param_grid,0.4887411656823694,0.23886792703256127,0.07098730513697354,0.13902776831316066,0.044588505958964186,0.010837623734533064,0.6107259207395277,0.6107259207395277,0.3830395683592407,0.4889792346418887
