base_d,base_c,base_f,lambda_scale,rho_scale,beta_scale,color_sem,stage,r,r2,mae,rmse,second_c_abs,second_c_signed,both_c_abs,both_c_signed,first_c_abs,balanced_loss
-0.3,1.0,0.5,0.85,1.15,1.1,0.7,promising_param_grid,0.7905021955627385,0.62489372118951,0.04506318053692094,0.0792336494070925,0.2685697731780417,-0.2685697731780417,0.23190655941044905,0.23190655941044905,0.061416162917598924,0.4637567022903587
-0.3,1.0,0.5,0.85,1.0,1.1,0.7,promising_param_grid,0.7897324940198136,0.6236774121107549,0.0451889691786244,0.07948050792330515,0.28223667119020296,-0.28223667119020296,0.22645827764546492,0.22645827764546492,0.060739007586821755,0.47494631793624054
-0.3,1.0,0.5,0.85,0.85,1.1,0.7,promising_param_grid,0.7878593401582034,0.6207223398745196,0.045478761757312046,0.07986170161507103,0.29601727996343447,-0.29601727996343447,0.22095139706408598,0.22095139706408598,0.060054666171058854,0.4863546801105485
-0.3,1.0,0.5,0.85,1.15,1.0,0.7,promising_param_grid,0.7861594220797914,0.6180466369248316,0.04585080474432847,0.08000916298924272,0.2579293308066733,-0.2579293308066733,0.24827298903739073,0.24827298903739073,0.06934353410659715,0.46207498831461136
-0.3,1.0,0.5,0.85,1.0,1.0,0.7,promising_param_grid,0.7857854181785742,0.6174587234220766,0.04594422873330699,0.0802295040391686,0.27194400701993776,-0.27194400701993776,0.24245134377753355,0.24245134377753355,0.0685867637342064,0.47339918294787314
-0.3,1.0,0.5,1.0,1.15,1.1,0.7,promising_param_grid,0.7782668321752411,0.6056992620640849,0.04538751989411509,0.08031291377489296,0.23881723556989504,-0.23881723556989504,0.27130153411900615,0.27130153411900615,0.07226245551763459,0.4547809164042911
-0.3,1.0,0.5,0.85,0.85,1.0,0.7,promising_param_grid,0.784319699006153,0.6151573902491023,0.04633508057373558,0.08058254474573864,0.2860760000752814,-0.2860760000752814,0.2365664430884085,0.2365664430884085,0.06782185546515866,0.48494176636522424
-0.3,1.0,0.5,1.0,1.0,1.1,0.7,promising_param_grid,0.7767958648236583,0.6034118156071352,0.04582056051773856,0.08060822167370758,0.2539949921178229,-0.2539949921178229,0.26463872576033687,0.26463872576033687,0.07142887338457986,0.4669225766716989
-0.3,1.0,0.5,1.0,1.15,1.1,0.65,promising_param_grid,0.7784645199193037,0.6060070087731919,0.04532128847154171,0.08060937587623694,0.2546852437066443,-0.2546852437066443,0.2566824817088804,0.2566824817088804,0.07767856381295606,0.46363586043732147
-0.3,1.0,0.5,0.85,1.15,1.1,0.65,promising_param_grid,0.7842818035617769,0.6150979473981136,0.046128233000688086,0.08068712877836243,0.2896109727429755,-0.2896109727429755,0.21728378916060545,0.21728378916060545,0.06614266782461091,0.4789399961016406
