model,artifact_role,retained_draws_per_chain,max_tree_depth,elpd_loo,p_loo,se_elpd_loo,divergences,max_rhat,min_bulk_ess,min_tail_ess,min_bfmi,max_pareto_k,pareto_k_gt_0_7,tree_depth_saturation_fraction,mean_acceptance,finite_diagnostics,pointwise_reconstruction_error,artifact_sha256,sampler_gate_pass
G-HO,recovery,4000,8,-13669.833902585237,179.7270531898139,110.53494282532836,0,1.0023246889397512,1199.022712622912,2531.912080859836,0.6479028944537752,0.2523920160393093,0,0.0,0.9228980005569449,True,0.0,b9a8e73f130dd5ce33ba6f68ea85f563b601b12f4d4cec4b61a0aa857c184e09,True
I-HO,primary,1000,6,-13972.08602329349,141.88926477775385,109.44709977387994,0,1.0056376051351685,1139.8370982918896,1864.7501381424465,0.6480633501189464,0.49940823475687446,0,0.008,0.9220970852487766,True,0.0,fa7efd5796c3368aa31df2d5e9476727908006ace8e8d9500c155c3b7c2e1925,True
K-HO,primary,1000,6,-13404.66577517789,189.12457602099494,110.57458204280314,0,1.0080230635870755,443.6669806914408,874.4745574062197,0.7017927850262508,0.35501619390601963,0,0.116,0.9368108396624855,True,0.0,a2b5ce518d2f11b982ad404f80bad8203e6a0b547e0f51a49f639a7fac91a890,True
G-UPD-HO,recovery,4000,8,-13714.937841404311,175.7805174910718,110.06032005660636,0,1.0020608211751285,1166.802531321445,2356.127130017525,0.65154131436723,0.28316838586937954,0,0.0,0.9340219929156812,True,0.0,3a50ab276a933733e57df4cb7599f0dfb9d2194ef3238620607ca443d8d70c88,True
I-UPD-HO,primary,1000,6,-13995.878680408096,140.5167576715885,109.3887724230817,0,1.0062321805790013,762.6830172231168,1245.926400184565,0.6792008326188821,0.374885150989364,0,0.0055,0.9096616713243173,True,0.0,f4f19d5990607d0b4c9a2116987d1f819789e33995a9471c4807b998d126c11e,True
K-UPD-HO,primary,1000,6,-13466.348691312356,182.2400219176052,109.89440602666181,0,1.0077220242234097,552.1198103267074,1054.6888759216617,0.6978929674887132,0.302198795533936,0,0.00025,0.9268240210600747,True,0.0,9b695c9d41a3defe908f6017fcb791a1eb1a2be8a69f0f5278fb361951a64d53,True
K-HKO,primary,1000,6,-13039.92361172998,254.5168596247131,110.0353292955554,0,1.0050690370070752,688.9151945811817,1340.1280063928937,0.7422611625337941,0.5031020422158596,0,0.7765,0.919756258027985,True,0.0,d06403458680941b0fc00bd1098187156261c13989dc6d6ab3b026668f03637b,True
K-UPD-HKO,primary,1000,6,-13094.064000558406,246.95873361373378,109.65066060149351,0,1.007324015755488,436.6122338152564,827.4596640191855,0.657455220323103,0.4217219134716008,0,0.317,0.9058475421318956,True,0.0,fc2430ca9e23905dd1025ffb0ab48851ddfa8df0a496c571a72dd1e8efd62bc8,True
