candidate,baseline,semantics,sufficient_form_pair_boost,three_word_penalty,relevant_property,sharpness,utterance_label,baseline_signed_residual,candidate_signed_residual,baseline_abs_residual,candidate_abs_residual,abs_residual_reduction
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.5,second,blurred,C,0.09537423550557,0.12793922246087686,0.09537423550557,0.12793922246087686,-0.03256498695530685
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.5,both,blurred,CF,-0.07827280940942122,-0.03160629429773479,0.07827280940942122,0.03160629429773479,0.04666651511168643
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.5,first,sharp,DFC,0.07494899695850463,0.05241413037039088,0.07494899695850463,0.05241413037039088,0.022534866588113746
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.5,both,sharp,CF,-0.07199112943579142,-0.035407808664853324,0.07199112943579142,0.035407808664853324,0.036583320770938094
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.5,second,sharp,DCF,0.07146556663607795,0.04500853546536171,0.07146556663607795,0.04500853546536171,0.02645703117071624
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.5,first,sharp,F,-0.0710161670567505,-0.0629534146961084,0.0710161670567505,0.0629534146961084,0.008062752360642092
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.75,first,blurred,DF,-0.21774232360645324,-0.1666000806178859,0.21774232360645324,0.1666000806178859,0.051142242988567344
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.75,second,blurred,CF,-0.18396817058377374,-0.17915656043787964,0.18396817058377374,0.17915656043787964,0.004811610145894096
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.75,first,sharp,DCF,0.17508699611363657,0.04596498548010261,0.17508699611363657,0.04596498548010261,0.12912201063353396
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.75,second,sharp,CF,-0.16475140185110151,-0.15991081544054692,0.16475140185110151,0.15991081544054692,0.004840586410554598
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.75,first,sharp,D,-0.14547018650399735,-0.0965496224946239,0.14547018650399735,0.0965496224946239,0.048920564009373446
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.75,both,sharp,DC,-0.1218941247546175,-0.09018068228099783,0.1218941247546175,0.09018068228099783,0.031713442473619666
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.75,second,blurred,C,0.09537423550557,0.13972608895684346,0.09537423550557,0.13972608895684346,-0.04435185345127346
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.75,both,blurred,CF,-0.07827280940942122,-0.009982787217400313,0.07827280940942122,0.009982787217400313,0.0682900221920209
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.75,first,sharp,DFC,0.07494899695850463,0.04173498544913017,0.07494899695850463,0.04173498544913017,0.033214011509374454
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.75,both,sharp,CF,-0.07199112943579142,-0.0177176744812432,0.07199112943579142,0.0177176744812432,0.05427345495454822
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.75,second,sharp,DCF,0.07146556663607795,0.035311400970400905,0.07146556663607795,0.035311400970400905,0.03615416566567704
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,0.75,first,sharp,F,-0.0710161670567505,-0.05913026469513758,0.0710161670567505,0.05913026469513758,0.011885902361612917
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,1.0,first,blurred,DF,-0.21774232360645324,-0.15189807199622815,0.21774232360645324,0.15189807199622815,0.06584425161022509
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,1.0,second,blurred,CF,-0.18396817058377374,-0.1781329622746786,0.18396817058377374,0.1781329622746786,0.005835208309095147
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,1.0,first,sharp,DCF,0.17508699611363657,0.007183765207783299,0.17508699611363657,0.007183765207783299,0.16790323090585327
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,1.0,second,sharp,CF,-0.16475140185110151,-0.15886562233232338,0.16475140185110151,0.15886562233232338,0.005885779518778139
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,context_fixed,0.0,1.0,first,sharp,D,-0.14547018650399735,-0.0818435857671404,0.14547018650399735,0.0818435857671404,0.06362660073685694
