model,semantics,sufficient_form_pair_boost,three_word_penalty,summary_type,scope,n_cells,mae,rmse,kl_empirical_to_model
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.25,utterance_cells,overall,90,0.028706328650428,0.04941862503956753,0.21793774539259758
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.5,utterance_cells,overall,90,0.027752435244601515,0.04721592434618045,0.2000586221647429
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,0.75,utterance_cells,overall,90,0.027737482686923828,0.047400662249327,0.19351414200497824
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.0,1.0,utterance_cells,overall,90,0.028453574835510365,0.04950269926977906,0.19741485963789512
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.25,0.0,utterance_cells,overall,90,0.02985938918302925,0.049897090494188445,0.2227848809733792
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.25,0.25,utterance_cells,overall,90,0.027006839541845844,0.04533324507691267,0.19493207839785792
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.25,0.5,utterance_cells,overall,90,0.026234324111022132,0.0433772607660052,0.17900589350336582
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.25,0.75,utterance_cells,overall,90,0.02650940716062502,0.044017847549210634,0.17428044654236546
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.25,1.0,utterance_cells,overall,90,0.02737257566387154,0.04663603476519119,0.17983371777780938
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.5,0.0,utterance_cells,overall,90,0.028210486482204183,0.045982752567800614,0.2028784217185834
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.5,0.25,utterance_cells,overall,90,0.026003035533417065,0.041692035920538176,0.1773930226239418
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.5,0.5,utterance_cells,overall,90,0.025206585172899334,0.040314670403317474,0.16370334944214823
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.5,0.75,utterance_cells,overall,90,0.025177803634804288,0.0416875409834624,0.16103820965423268
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,context_fixed,0.5,1.0,utterance_cells,overall,90,0.026230612762200373,0.04498436469332142,0.16844414022270002
