bias,color_semvalue,gamma,k,sigma,steepness,wf
0.31084627,0.93983424,3.268484,0.2458754,0.099999525,1.426229,0.9103278
0.27601087,0.939715,3.3696077,0.3909555,0.09999557,0.47563234,0.91464
0.28066084,0.93992984,3.3276424,0.4514496,0.099994205,0.42715648,0.92070675
0.28111568,0.939875,3.3132358,0.4104647,0.09999605,0.619758,0.90495414
0.26054564,0.93931156,3.5298705,0.24936812,0.099998094,0.6613823,0.9111365
0.2776756,0.9400407,3.2014136,0.44752347,0.09999826,0.78441626,0.92697823
0.27077016,0.9397613,3.4693625,0.26655623,0.09999972,0.6374311,0.9037742
0.2628,0.9392904,3.5139737,0.3209235,0.0999997,0.48968962,0.9090468
0.24879138,0.9395808,3.5042894,0.33388057,0.09999837,0.7146077,0.8955284
0.32647175,0.94051707,3.23823,0.21628858,0.0999971,0.94963187,0.88723403
0.2698888,0.9394594,3.4530842,0.38601735,0.09999894,0.5249204,0.92084634
0.28268182,0.9399406,3.2997544,0.3052723,0.09999353,1.0928326,0.9017231
0.2856358,0.93984306,3.3107467,0.31521064,0.09999706,0.9393093,0.9083501
0.30130202,0.94001913,3.20291,0.3707068,0.09999483,1.3350458,0.91926396
0.29173797,0.9400542,3.2728677,0.33069298,0.09999602,1.1280379,0.9080693
0.29284358,0.93976045,3.1924827,0.4140436,0.099996105,1.3726069,0.9228752
0.27516568,0.93991053,3.4790003,0.22089282,0.099999025,1.0065153,0.877982
0.3165003,0.9399661,3.1703322,0.41155025,0.0999964,0.6451895,0.9286166
0.3113063,0.94063556,3.2658167,0.31347868,0.09999754,0.9749055,0.89779973
0.27120185,0.9388542,3.4463794,0.35145527,0.099999145,0.4931046,0.9313284
0.3026402,0.93972564,3.3128145,0.39411825,0.09999841,0.5525322,0.92029935
0.3186379,0.94024223,3.2350445,0.2701249,0.099995516,1.2806213,0.8921272
0.31139764,0.93984365,3.219956,0.38123998,0.09999602,0.80778515,0.9295936
0.2633254,0.93934053,3.567806,0.26281226,0.09999845,0.6529719,0.89966416
0.317219,0.9399671,3.1972542,0.40313464,0.09999923,0.62162596,0.93578
0.31376562,0.94043136,3.298053,0.2889679,0.09999273,0.75184715,0.8941241
0.27033302,0.9394272,3.2905447,0.39462915,0.09999996,0.92084444,0.92739165
0.35236883,0.94028354,3.1980405,0.25885642,0.09999994,0.86531436,0.905496
0.28299528,0.9392154,3.3813186,0.31073707,0.09999998,0.74762917,0.91365
0.28540644,0.9397288,3.5184011,0.2755078,0.09999955,0.4460858,0.9012866
0.2799204,0.9395262,3.3600907,0.37923723,0.09999812,0.5927677,0.92856586
0.32830518,0.940211,3.1991792,0.31766534,0.099998415,0.748453,0.91683555
0.2713636,0.93978286,3.381236,0.39187172,0.099999726,0.5509425,0.91260195
0.30456176,0.9397466,3.391623,0.23514487,0.099999085,0.72705376,0.89733386
0.2836749,0.9398068,3.424814,0.25210086,0.099993244,0.7442007,0.89777726
0.28720418,0.9397907,3.3769786,0.30192655,0.09999853,0.86444354,0.90103173
0.28094193,0.9401155,3.352461,0.29552314,0.099990785,1.2561271,0.8885179
0.27462152,0.94015193,3.4131162,0.28234768,0.099992625,1.1486993,0.8794993
0.2699389,0.93968916,3.3609514,0.34386018,0.09999901,0.7419462,0.9237199
0.2745167,0.93944824,3.393661,0.34281597,0.09999986,0.7627114,0.90605944
0.27396044,0.93939865,3.4183745,0.34825954,0.099999905,0.67889845,0.90856934
0.2943919,0.93977535,3.4809911,0.24956618,0.09999937,0.43963987,0.9116676
0.28126815,0.93973446,3.36767,0.37489894,0.099993505,0.51238245,0.9171665
0.29256037,0.93979096,3.3022504,0.313692,0.09999921,0.7654568,0.920289
0.30208966,0.9398132,3.3345218,0.35809013,0.09999993,0.55504835,0.90911543
0.272979,0.93945026,3.4239707,0.299623,0.099977724,0.7277365,0.907808
0.27759254,0.93950236,3.4086375,0.28537732,0.09999068,0.810582,0.905158
0.2692293,0.93931854,3.5440702,0.19363564,0.099999785,0.754249,0.8872984
0.30358338,0.9396994,3.3593476,0.2571521,0.09999496,0.66212285,0.90811
0.28766742,0.9399681,3.2985213,0.37493384,0.09999835,0.87479055,0.9110053
0.27395195,0.9400885,3.3772283,0.30455744,0.09999555,0.91400695,0.90381014
0.29891706,0.9395353,3.3810499,0.28051418,0.09999919,0.804952,0.90805435
0.28109023,0.939999,3.289393,0.33579275,0.09999789,1.0987339,0.908976
0.282246,0.94003606,3.3886733,0.26496232,0.09999621,0.9140479,0.905287
0.286007,0.93954426,3.3525372,0.25358623,0.099994816,1.2783772,0.89623463
0.29274115,0.93997943,3.3568013,0.25924844,0.09999388,1.2196636,0.89504683
0.28459728,0.9393668,3.4077766,0.32868114,0.0999993,0.43601495,0.927896
