relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,diff,label,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.03667844522968198,0.02120141342756184,0.053003533568904596,0.03667844522968198,both | blurred | D,both | blurred
both,blurred,1,DC,0.06890459363957598,0.04946996466431095,0.09010600706713781,566,0.1784558303886926,0.14664310954063603,0.21201413427561838,0.10955123674911661,both | blurred | DC,both | blurred
both,blurred,2,DCF,0.30918727915194344,0.2703180212014134,0.3480565371024735,566,0.15630388692579505,0.1262809187279152,0.1855123674911661,-0.15288339222614838,both | blurred | DCF,both | blurred
both,blurred,3,DF,0.08480565371024736,0.061837455830388695,0.10777385159010601,566,0.01673498233215548,0.007067137809187279,0.026501766784452298,-0.06807067137809188,both | blurred | DF,both | blurred
both,blurred,4,DFC,0.030035335689045935,0.0176678445229682,0.044169611307420496,566,0.020480565371024734,0.0088339222614841,0.03356890459363958,-0.0095547703180212,both | blurred | DFC,both | blurred
both,blurred,5,C,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.2224416961130742,0.1828180212014134,0.2606448763250883,0.2136077738515901,both | blurred | C,both | blurred
both,blurred,6,CD,0.0088339222614841,0.0017667844522968198,0.0176678445229682,566,0.01519434628975265,0.00530035335689046,0.024734982332155476,0.006360424028268551,both | blurred | CD,both | blurred
both,blurred,7,CDF,0.05123674911660778,0.03356890459363958,0.0706713780918728,566,0.021346289752650176,0.01060070671378092,0.03356890459363958,-0.0298904593639576,both | blurred | CDF,both | blurred
both,blurred,8,CF,0.2703180212014134,0.2332155477031802,0.30565371024734983,566,0.23630388692579504,0.20141342756183744,0.27208480565371024,-0.03401413427561836,both | blurred | CF,both | blurred
both,blurred,9,CFD,0.0035335689045936395,0.0,0.0088339222614841,566,0.018268551236749114,0.0088339222614841,0.028268551236749116,0.014734982332155474,both | blurred | CFD,both | blurred
both,blurred,10,F,0.1166077738515901,0.09010600706713781,0.14487632508833923,566,0.015265017667844523,0.007067137809187279,0.026501766784452298,-0.10134275618374558,both | blurred | F,both | blurred
both,blurred,11,FD,0.0017667844522968198,0.0,0.00530035335689046,566,0.015109540636042404,0.00530035335689046,0.026501766784452298,0.013342756183745584,both | blurred | FD,both | blurred
both,blurred,12,FDC,0.00530035335689046,0.0,0.012367491166077738,566,0.015049469964664311,0.006139575971731452,0.026501766784452298,0.00974911660777385,both | blurred | FDC,both | blurred
both,blurred,13,FC,0.04063604240282685,0.024734982332155476,0.05653710247349823,566,0.017438162544169612,0.007067137809187279,0.028268551236749116,-0.02319787985865724,both | blurred | FC,both | blurred
both,blurred,14,FCD,0.0,0.0,0.0,566,0.014929328621908126,0.00530035335689046,0.026501766784452298,0.014929328621908126,both | blurred | FCD,both | blurred
both,sharp,0,D,0.0,0.0,0.0,503,0.042982107355864815,0.02584493041749503,0.061630218687872766,0.042982107355864815,both | sharp | D,both | sharp
both,sharp,1,DC,0.19681908548707752,0.1610337972166998,0.23260437375745527,503,0.23344333996023858,0.19681908548707752,0.27037773359840955,0.03662425447316106,both | sharp | DC,both | sharp
both,sharp,2,DCF,0.3121272365805169,0.27236580516898606,0.3518886679920477,503,0.202337972166998,0.16699801192842942,0.23658051689860835,-0.10978926441351888,both | sharp | DCF,both | sharp
both,sharp,3,DF,0.1073558648111332,0.08151093439363817,0.13518886679920478,503,0.017109343936381707,0.007952286282306162,0.02982107355864811,-0.09024652087475149,both | sharp | DF,both | sharp
both,sharp,4,DFC,0.02982107355864811,0.015904572564612324,0.04572564612326044,503,0.019825049701789266,0.009940357852882704,0.03180914512922465,-0.009996023856858844,both | sharp | DFC,both | sharp
both,sharp,5,C,0.0,0.0,0.0,503,0.17535984095427434,0.14209741550695826,0.21073558648111332,0.17535984095427434,both | sharp | C,both | sharp
both,sharp,6,CD,0.011928429423459244,0.003976143141153081,0.02186878727634195,503,0.015260437375745527,0.005964214711729622,0.02584493041749503,0.0033320079522862825,both | sharp | CD,both | sharp
both,sharp,7,CDF,0.027833001988071572,0.013916500994035786,0.0437375745526839,503,0.025391650099403577,0.011928429423459244,0.041749502982107355,-0.0024413518886679947,both | sharp | CDF,both | sharp
both,sharp,8,CF,0.20278330019880716,0.16898608349900596,0.24055666003976142,503,0.17363817097415507,0.13717693836978131,0.21073558648111332,-0.029145129224652094,both | sharp | CF,both | sharp
both,sharp,9,CFD,0.003976143141153081,0.0,0.009940357852882704,503,0.0175427435387674,0.005964214711729622,0.03180914512922465,0.013566600397614318,both | sharp | CFD,both | sharp
both,sharp,10,F,0.08349900596421471,0.061630218687872766,0.1073558648111332,503,0.015054252796474167,0.005964214711729622,0.027833001988071572,-0.06844475316774054,both | sharp | F,both | sharp
both,sharp,11,FD,0.0,0.0,0.0,503,0.015069582504970178,0.003976143141153081,0.02584493041749503,0.015069582504970178,both | sharp | FD,both | sharp
both,sharp,12,FDC,0.0,0.0,0.0,503,0.014898608349900597,0.005964214711729622,0.02584493041749503,0.014898608349900597,both | sharp | FDC,both | sharp
both,sharp,13,FC,0.02186878727634195,0.009940357852882704,0.03578528827037773,503,0.01708548707753479,0.007952286282306162,0.02982107355864811,-0.004783300198807159,both | sharp | FC,both | sharp
both,sharp,14,FCD,0.0019880715705765406,0.0,0.005964214711729622,503,0.015061630218687873,0.005964214711729622,0.02584493041749503,0.013073558648111333,both | sharp | FCD,both | sharp
first,blurred,0,D,0.05595667870036101,0.039711191335740074,0.07581227436823104,554,0.19402527075812273,0.16064981949458484,0.23018953068592055,0.13806859205776173,first | blurred | D,first | blurred
first,blurred,1,DC,0.04332129963898917,0.02707581227436823,0.05956678700361011,554,0.17637184115523466,0.14259927797833935,0.2111913357400722,0.13305054151624549,first | blurred | DC,first | blurred
first,blurred,2,DCF,0.2996389891696751,0.26173285198555957,0.33578519855595645,554,0.15336823104693142,0.12093862815884476,0.18772563176895307,-0.14627075812274365,first | blurred | DCF,first | blurred
first,blurred,3,DF,0.36462093862815886,0.3266696750902527,0.4043321299638989,554,0.08098916967509025,0.05776173285198556,0.10469314079422383,-0.28363176895306863,first | blurred | DF,first | blurred
first,blurred,4,DFC,0.032490974729241874,0.018050541516245487,0.04693140794223827,554,0.18705054151624548,0.15162454873646208,0.22382671480144403,0.1545595667870036,first | blurred | DFC,first | blurred
first,blurred,5,C,0.005415162454873646,0.0,0.01263537906137184,554,0.0374187725631769,0.023465703971119134,0.05415162454873646,0.03200361010830325,first | blurred | C,first | blurred
first,blurred,6,CD,0.0018050541516245488,0.0,0.005415162454873646,554,0.015418772563176895,0.005415162454873646,0.02527075812274368,0.013613718411552346,first | blurred | CD,first | blurred
first,blurred,7,CDF,0.039711191335740074,0.02527075812274368,0.05600180505415137,554,0.01471480144404332,0.005415162454873646,0.02527075812274368,-0.024996389891696752,first | blurred | CDF,first | blurred
first,blurred,8,CF,0.08664259927797834,0.06498194945848375,0.11191335740072202,554,0.03972924187725632,0.023465703971119134,0.05595667870036101,-0.046913357400722014,first | blurred | CF,first | blurred
first,blurred,9,CFD,0.0,0.0,0.0,554,0.01528519855595668,0.005415162454873646,0.02527075812274368,0.01528519855595668,first | blurred | CFD,first | blurred
first,blurred,10,F,0.03790613718411552,0.023465703971119134,0.05415162454873646,554,0.014671943164306953,0.005415162454873646,0.02707581227436823,-0.023234194019808568,first | blurred | F,first | blurred
first,blurred,11,FD,0.009025270758122744,0.0018050541516245488,0.018050541516245487,554,0.015044529492197391,0.005415162454873646,0.02527075812274368,0.006019258734074648,first | blurred | FD,first | blurred
first,blurred,12,FDC,0.0036101083032490976,0.0,0.009025270758122744,554,0.017920577617328518,0.007220216606498195,0.030685920577617327,0.014310469314079421,first | blurred | FDC,first | blurred
first,blurred,13,FC,0.016245487364620937,0.007220216606498195,0.02707581227436823,554,0.023137184115523464,0.010830324909747292,0.036101083032490974,0.006891696750902527,first | blurred | FC,first | blurred
first,blurred,14,FCD,0.0036101083032490976,0.0,0.009025270758122744,554,0.014913357400722022,0.005415162454873646,0.02527075812274368,0.011303249097472923,first | blurred | FCD,first | blurred
first,sharp,0,D,0.2689243027888446,0.2290836653386454,0.30876494023904383,502,0.21568525896414342,0.17928286852589642,0.26200199203187247,-0.05323904382470118,first | sharp | D,first | sharp
first,sharp,1,DC,0.045816733067729085,0.027888446215139442,0.06573705179282868,502,0.15452988047808766,0.11952191235059761,0.19123505976095617,0.10871314741035858,first | sharp | DC,first | sharp
first,sharp,2,DCF,0.2051792828685259,0.17131474103585656,0.24108565737051765,502,0.13326294820717133,0.10557768924302789,0.1693227091633466,-0.07191633466135458,first | sharp | DCF,first | sharp
first,sharp,3,DF,0.23107569721115537,0.19516932270916335,0.2689243027888446,502,0.08993227091633466,0.06374501992031872,0.11752988047808766,-0.1411434262948207,first | sharp | DF,first | sharp
first,sharp,4,DFC,0.021912350597609563,0.0099601593625498,0.03386454183266932,502,0.21087250996015935,0.1752988047808765,0.2500498007968127,0.18896015936254978,first | sharp | DFC,first | sharp
first,sharp,5,C,0.0,0.0,0.0,502,0.03185657370517928,0.017928286852589643,0.04780876494023904,0.03185657370517928,first | sharp | C,first | sharp
