conditions,relevant_property,sharpness,utterance_label,context_fixed,context_updating,delta_updating_minus_fixed,abs_delta_updating_minus_fixed,semantic_family
zrdc,second,blurred,CD,0.032582637,0.032585356,2.719462e-06,2.719462e-06,current
zrdc,second,blurred,CDF,0.07612587,0.0761323,6.429851e-06,6.429851e-06,current
zrdc,second,blurred,CF,0.10473462,0.1047265,-8.121133e-06,8.121133e-06,current
zrdc,second,blurred,CFD,0.05018728,0.0501834,-3.878027e-06,3.878027e-06,current
zrdc,second,blurred,D,0.052249715,0.052249953,2.3841858e-07,2.3841858e-07,current
zrdc,second,blurred,DC,0.11830926,0.11830956,2.9802322e-07,2.9802322e-07,current
zrdc,second,blurred,DCF,0.06021053,0.06021067,1.4156103e-07,1.4156103e-07,current
zrdc,second,blurred,DF,0.019074371,0.019074753,3.8184226e-07,3.8184226e-07,current
zrdc,second,blurred,DFC,0.014381927,0.0143822115,2.8405339e-07,2.8405339e-07,current
zrdc,second,blurred,F,0.04947994,0.049480084,1.4528632e-07,1.4528632e-07,current
zrdc,second,blurred,FC,0.03485389,0.034853987,9.685755e-08,9.685755e-08,current
zrdc,second,blurred,FCD,0.0078040333,0.0078040534,2.0023435e-08,2.0023435e-08,current
zrdc,second,blurred,FD,0.002642201,0.0026422094,8.381903e-09,8.381903e-09,current
zrdc,second,blurred,FDC,0.005117658,0.005117676,1.816079e-08,1.816079e-08,current
zrdc,second,sharp,C,0.33883452,0.33883554,1.013279e-06,1.013279e-06,current
zrdc,second,sharp,CD,0.035235673,0.035237994,2.3208559e-06,2.3208559e-06,current
zrdc,second,sharp,CDF,0.08239847,0.08240395,5.4836273e-06,5.4836273e-06,current
zrdc,second,sharp,CF,0.09016686,0.09015993,-6.92904e-06,6.92904e-06,current
zrdc,second,sharp,CFD,0.043371707,0.043368395,-3.311783e-06,3.311783e-06,current
zrdc,second,sharp,D,0.061594937,0.061595183,2.4586916e-07,2.4586916e-07,current
zrdc,second,sharp,DC,0.13932277,0.13932346,6.854534e-07,6.854534e-07,current
zrdc,second,sharp,DCF,0.07552297,0.07552334,3.7252903e-07,3.7252903e-07,current
zrdc,second,sharp,DF,0.022754958,0.0227549,-5.7742e-08,5.7742e-08,current
zrdc,second,sharp,DFC,0.01718276,0.017182719,-4.0978193e-08,4.0978193e-08,current
zrdc,second,sharp,F,0.04592971,0.04592982,1.0803342e-07,1.0803342e-07,current
zrdc,second,sharp,FC,0.031373825,0.031373892,6.7055225e-08,6.7055225e-08,current
zrdc,second,sharp,FCD,0.0075043864,0.0075044013,1.4901161e-08,1.4901161e-08,current
zrdc,second,sharp,FD,0.0029639294,0.0029639364,6.9849193e-09,6.9849193e-09,current
zrdc,second,sharp,FDC,0.00584253,0.005842546,1.5832484e-08,1.5832484e-08,current
brdc,both,blurred,C,0.18229252,0.18193181,-0.0003607124,0.0003607124,tmcc
brdc,both,blurred,CD,0.028261827,0.0275412,-0.0007206276,0.0007206276,tmcc
brdc,both,blurred,CDF,0.06591014,0.064206354,-0.0017037839,0.0017037839,tmcc
brdc,both,blurred,CF,0.035505302,0.037591975,0.002086673,0.002086673,tmcc
brdc,both,blurred,CFD,0.017289931,0.018285586,0.0009956546,0.0009956546,tmcc
brdc,both,blurred,D,0.105984755,0.105784856,-0.00019989908,0.00019989908,tmcc
brdc,both,blurred,DC,0.22268212,0.21976031,-0.0029218048,0.0029218048,tmcc
brdc,both,blurred,DCF,0.13824385,0.13641536,-0.0018284917,0.0018284917,tmcc
brdc,both,blurred,DF,0.059222788,0.061996523,0.0027737357,0.0027737357,tmcc
brdc,both,blurred,DFC,0.04445088,0.046524882,0.0020740032,0.0020740032,tmcc
brdc,both,blurred,F,0.048251446,0.04815569,-9.575486e-05,9.575486e-05,tmcc
brdc,both,blurred,FC,0.024888001,0.02483847,-4.953146e-05,4.953146e-05,tmcc
brdc,both,blurred,FCD,0.0068532177,0.0068405163,-1.2701377e-05,1.2701377e-05,tmcc
brdc,both,blurred,FD,0.00645504,0.006443723,-1.1316966e-05,1.1316966e-05,tmcc
brdc,both,blurred,FDC,0.013708203,0.013682705,-2.549775e-05,2.549775e-05,tmcc
brdc,both,sharp,C,0.12902258,0.12881473,-0.0002078563,0.0002078563,tmcc
brdc,both,sharp,CD,0.024202466,0.02370642,-0.0004960466,0.0004960466,tmcc
brdc,both,sharp,CDF,0.056312557,0.05513975,-0.0011728071,0.0011728071,tmcc
brdc,both,sharp,CF,0.018059261,0.019514004,0.0014547426,0.0014547426,tmcc
brdc,both,sharp,CFD,0.008965548,0.009659679,0.00069413055,0.00069413055,tmcc
brdc,both,sharp,D,0.1261133,0.12591396,-0.00019933283,0.00019933283,tmcc
brdc,both,sharp,DC,0.26557252,0.26247957,-0.0030929446,0.0030929446,tmcc
brdc,both,sharp,DCF,0.17518473,0.17312498,-0.0020597428,0.0020597428,tmcc
brdc,both,sharp,DF,0.069885105,0.07285798,0.0029728785,0.0029728785,tmcc
brdc,both,sharp,DFC,0.05242342,0.054646328,0.0022229068,0.0022229068,tmcc
brdc,both,sharp,F,0.035213724,0.035157256,-5.646795e-05,5.646795e-05,tmcc
brdc,both,sharp,FC,0.014728379,0.014705204,-2.3175031e-05,2.3175031e-05,tmcc
brdc,both,sharp,FCD,0.004516173,0.004509818,-6.3553452e-06,6.3553452e-06,tmcc
brdc,both,sharp,FD,0.006343463,0.0063342643,-9.198673e-06,9.198673e-06,tmcc
brdc,both,sharp,FDC,0.013456815,0.01343609,-2.0724721e-05,2.0724721e-05,tmcc
erdc,first,blurred,C,0.06885466,0.06878423,-7.043034e-05,7.043034e-05,tmcc
erdc,first,blurred,CD,0.014883725,0.0149529,6.9174916e-05,6.9174916e-05,tmcc
erdc,first,blurred,CDF,0.034280177,0.034443732,0.00016355515,0.00016355515,tmcc
erdc,first,blurred,CF,0.014399729,0.014105832,-0.00029389653,0.00029389653,tmcc
erdc,first,blurred,CFD,0.007110512,0.006972049,-0.00013846299,0.00013846299,tmcc
erdc,first,blurred,D,0.13444936,0.13432781,-0.00012154877,0.00012154877,tmcc
erdc,first,blurred,DC,0.22484885,0.21399914,-0.010849714,0.010849714,tmcc
erdc,first,blurred,DCF,0.17760709,0.16810244,-0.009504646,0.009504646,tmcc
erdc,first,blurred,DF,0.1417803,0.15393506,0.012154758,0.012154758,tmcc
erdc,first,blurred,DFC,0.10483939,0.113537304,0.008697912,0.008697912,tmcc
erdc,first,blurred,F,0.036354996,0.03630341,-5.158782e-05,5.158782e-05,tmcc
erdc,first,blurred,FC,0.010425695,0.010410831,-1.4863908e-05,1.4863908e-05,tmcc
erdc,first,blurred,FCD,0.0038740654,0.0038687533,-5.312031e-06,5.312031e-06,tmcc
erdc,first,blurred,FD,0.00833887,0.00832813,-1.0740012e-05,1.0740012e-05,tmcc
erdc,first,blurred,FDC,0.017952578,0.01792838,-2.4197623e-05,2.4197623e-05,tmcc
erdc,first,sharp,C,0.04618684,0.04600804,-0.00017879903,0.00017879903,tmcc
erdc,first,sharp,CD,0.012488443,0.0124702575,-1.8185936e-05,1.8185936e-05,tmcc
erdc,first,sharp,CDF,0.02778312,0.027737213,-4.5906752e-05,4.5906752e-05,tmcc
erdc,first,sharp,CF,0.0072081545,0.007082907,-0.00012524752,0.00012524752,tmcc
erdc,first,sharp,CFD,0.0037879394,0.0037281776,-5.9761805e-05,5.9761805e-05,tmcc
erdc,first,sharp,D,0.14573689,0.14518797,-0.0005489141,0.0005489141,tmcc
erdc,first,sharp,DC,0.23825203,0.18739289,-0.05085914,0.05085914,tmcc
erdc,first,sharp,DCF,0.21204636,0.1644266,-0.04761976,0.04761976,tmcc
erdc,first,sharp,DF,0.14599192,0.20302121,0.057029292,0.057029292,tmcc
