semantic_family,utterance_label,n_displays,mean_abs_delta_target_listener,mean_signed_delta_target_listener,max_abs_delta_target_listener
current,CD,162,3.4953341071988328e-09,-2.3915443891360435e-09,5.960464477539063e-08
current,D,162,2.7594742951569732e-09,-1.2877546710732542e-09,4.470348358154297e-08
current,DC,162,0.0010253909377404202,-0.0010128493110338848,0.03811696171760559
tmcc,CD,162,3.8632640132197625e-09,-3.4953341071988328e-09,5.960464477539063e-08
tmcc,D,162,2.7594742951569732e-09,-1.2877546710732542e-09,4.470348358154297e-08
tmcc,DC,162,0.002724919514155682,-0.0024778323225033137,0.03333213925361633
