decision_stage,status,selected_model,selected_architecture,selected_semantics,criterion,n_candidates,max_delta_elpd,best_ppc_rmse_gain,best_second_property_abs_residual_reduction,evidence,blocker
slider_posterior_ablation,mixed,planned_usefulness_order_static,planned_usefulness_order,context_fixed,posterior_loo_and_ppc,10,11.031014919281006,0.0039858970017653,0.0109294056892394,"No pairwise recommendation passed all gates, but at least one candidate is Pareto-nondominated.",Interpret PPC gate failures before treating this as a final architecture.
slider_heldout_ablation,mixed,planned_usefulness_signed_order_static,planned_usefulness_signed_order,context_fixed,heldout_elpd_and_ppc,10,1.116455078125,0.0039858970017653,0.0109294056892394,"No pairwise recommendation passed all gates, but at least one candidate is Pareto-nondominated.",Interpret PPC gate failures before treating this as a final architecture.
production_2x2,pass,principled_salience_stop_regularized_2x2_inc_static,incremental,context_fixed,loo_ppc_diagnostics_architecture_contrast,4,1363.7329015731812,,,"Incremental model is on the production Pareto frontier, global models are off the frontier, and incremental ELPD is higher within both semantic regimes.",
final_interpretable_2x2,mixed,principled_salience_stop_regularized_2x2_inc_static,incremental,context_fixed,slider_ablation_plus_heldout_plus_production_2x2,,1363.7329015731812,,,"Final decision combines slider speaker ablation, heldout slider ELPD/PPC, and production 2x2 LOO/PPC/diagnostics.",Some evidence is Pareto-nondominated or interpretable but did not pass all gates.
