model,n_parameters,max_r_hat,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,n_divergent,divergence_rate,diagnostic_status
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_rec_fixedeps,8,1.0,0,0,1939.0,3019.0,0,0.0,pass
principled_salience_stop_regularized_responsepolicy_boundedform_2x2_inc_static_fixedeps,8,1.0,0,0,2064.0,3728.0,0,0.0,pass
