set,inc_rec_elpd,inc_static_elpd,glob_rec_elpd,glob_static_elpd,inc_recursive_gain,global_recursive_gain,interaction_did,interaction_se,interaction_z,warnings,max_rhat,rhats,bad_pareto_k_ge_0.7
old_contextual_pcalpha,-5275.019295692444,-5337.988764762878,-6207.569226264954,-6200.512434005737,62.96946907043457,-7.056792259216309,70.02626132965088,13.936162261519595,5.024788030992346,inc_rec:True;inc_static:True;glob_rec:False;glob_static:False,1.02,"{""glob_rec"": 1.0, ""glob_static"": 1.0, ""inc_rec"": 1.01, ""inc_static"": 1.02}","{""glob_rec"": 0, ""glob_static"": 0, ""inc_rec"": 12, ""inc_static"": 2}"
new_principled_regularized,-6369.320020675659,-6367.339756965637,-7730.713019371033,-7731.072658538818,-1.9802637100219727,0.35963916778564453,-2.339902877807617,0.5958425542566615,-3.9270489512565003,inc_rec:False;inc_static:False;glob_rec:True;glob_static:True,1.54,"{""glob_rec"": 1.53, ""glob_static"": 1.54, ""inc_rec"": 1.0, ""inc_static"": 1.0}","{""glob_rec"": 2, ""glob_static"": 1, ""inc_rec"": 0, ""inc_static"": 0}"
new_principled_global_fixedeps,-6369.320020675659,-6367.339756965637,-7118.752082824707,-7119.072489738464,-1.9802637100219727,0.3204069137573242,-2.300670623779297,0.4238266846426908,-5.428328859752869,inc_rec:False;inc_static:False;glob_rec:False;glob_static:False,1.07,"{""glob_rec"": 1.07, ""glob_static"": 1.05, ""inc_rec"": 1.0, ""inc_static"": 1.0}","{""glob_rec"": 0, ""glob_static"": 0, ""inc_rec"": 0, ""inc_static"": 0}"
