relevant_property,sharpness,emp_mean,n,pred_mean_incremental_recursive,pred_lo_incremental_recursive,pred_hi_incremental_recursive,pred_mean_incremental_static,pred_lo_incremental_static,pred_hi_incremental_static,pred_mean_global_recursive,pred_lo_global_recursive,pred_hi_global_recursive,pred_mean_global_static,pred_lo_global_static,pred_hi_global_static
both,blurred,0.7456020075441603,598,0.67625546,0.6431779623031616,0.708099539577961,0.6762401,0.6430992305278778,0.7077499344944954,0.6793733,0.6398476108908653,0.7182776033878326,0.664082,0.610067056119442,0.7108750522136688
both,sharp,0.7039198614267522,574,0.6828643,0.6486908167600631,0.7142140746116638,0.682753,0.6483917236328125,0.7133881777524947,0.6836218,0.6446087315678597,0.7206749305129051,0.67037606,0.6125292047858238,0.7208231270313262
first,blurred,0.8004220194738666,545,0.7208046,0.68776585906744,0.7532410994172096,0.72071904,0.6879150286316872,0.7523356065154075,0.6813053,0.6372573703527451,0.7236138641834259,0.66577756,0.6072238698601723,0.716802255809307
first,sharp,0.8430052735958975,569,0.7242041,0.6912437617778778,0.75511354804039,0.7241966,0.6896637514233589,0.7563799738883972,0.68485206,0.6454623863101006,0.721459873020649,0.67127794,0.6138128250837326,0.7217591732740402
second,blurred,0.5622611471576391,628,0.6402827,0.6062892228364944,0.6736545175313949,0.6402144,0.6071174383163452,0.6725979685783386,0.68036026,0.6384868502616883,0.7213414222002029,0.66460705,0.6077325463294982,0.7148682251572609
second,sharp,0.5434676018329876,571,0.6441992,0.6083398208022117,0.679141029715538,0.6442,0.6087021648883819,0.6781625643372535,0.6845376,0.6442993238568306,0.7210148215293884,0.67073226,0.613148458302021,0.7203566893935203
