relevant_property,sharpness,utterance_code,utterance_label,human_mean,human_lo,human_hi,n,model_mean,model_lo,model_hi,condition
both,blurred,0,D,0.0,0.0,0.0,566,0.19127561837455828,0.15984982332155476,0.22614840989399293,both | blurred
both,blurred,1,DC,0.06886395759717313,0.04946996466431095,0.09010600706713781,566,0.14070318021201414,0.11484098939929328,0.16784452296819788,both | blurred
both,blurred,2,DCF,0.30964840989399295,0.2703180212014134,0.3498233215547703,566,0.10910247349823322,0.08303886925795052,0.13427561837455831,both | blurred
both,blurred,3,DF,0.0843065371024735,0.061837455830388695,0.10781802120141319,566,0.037159010600706706,0.022968197879858657,0.053003533568904596,both | blurred
both,blurred,4,DFC,0.030020318021201413,0.0176678445229682,0.044169611307420496,566,0.03260070671378092,0.0176678445229682,0.04770318021201413,both | blurred
both,blurred,5,C,0.008814487632508835,0.0017667844522968198,0.0176678445229682,566,0.18113074204946994,0.15101590106007068,0.21470848056537098,both | blurred
both,blurred,6,CD,0.008813604240282685,0.0017667844522968198,0.0176678445229682,566,0.046763250883392234,0.029107773851590107,0.06537102473498234,both | blurred
both,blurred,7,CDF,0.05100176678445229,0.03356890459363958,0.0706713780918728,566,0.06349469964664312,0.045936395759717315,0.08303886925795052,both | blurred
both,blurred,8,CF,0.27022879858657245,0.23498233215547704,0.30918727915194344,566,0.056812720848056546,0.038869257950530034,0.07597173144876325,both | blurred
both,blurred,9,CFD,0.0035106007067137804,0.0,0.0088339222614841,566,0.029236749116607775,0.015901060070671377,0.044169611307420496,both | blurred
both,blurred,10,F,0.116773851590106,0.09010600706713781,0.1431095406360424,566,0.03933922261484099,0.022968197879858657,0.054770318021201414,both | blurred
both,blurred,11,FD,0.0018109540636042402,0.0,0.00530035335689046,566,0.008371024734982331,0.0017667844522968198,0.015901060070671377,both | blurred
both,blurred,12,FDC,0.005287102473498234,0.0,0.012367491166077738,566,0.016862190812720848,0.007067137809187279,0.027429328621908087,both | blurred
both,blurred,13,FC,0.040724381625441695,0.024734982332155476,0.05653710247349823,566,0.031197879858657244,0.0176678445229682,0.045936395759717315,both | blurred
both,blurred,14,FCD,0.0,0.0,0.0,566,0.01595053003533569,0.007067137809187279,0.028268551236749116,both | blurred
both,sharp,0,D,0.0,0.0,0.0,503,0.2060596421471173,0.16898608349900596,0.24055666003976142,both | sharp
