model,n_parameters,max_r_hat,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,n_divergent,divergence_rate,diagnostic_status
principled_salience_stop_regularized_responsepolicy_2x2_inc_rec_fixedeps,8,1.01,0,0,188.0,205.0,0,0.0,pass
principled_salience_stop_regularized_responsepolicy_2x2_inc_static_fixedeps,8,1.01,0,0,201.0,205.0,0,0.0,pass
principled_salience_stop_regularized_responsepolicy_2x2_glob_rec_fixedeps,8,1.4,2,1,9.0,25.0,0,0.0,fail
principled_salience_stop_regularized_responsepolicy_2x2_glob_static_fixedeps,8,1.34,4,1,10.0,44.0,0,0.0,fail
