variant,alpha,order_bias,usefulness_order_scale,signed_order_scale,planned_mixture_weight,observation_rmse,observation_mae,observation_correlation,observation_r2,condition_rmse,condition_mae,condition_abs_zrdc_residual,condition_abs_erdc_residual,condition_abs_brdc_residual,mechanism_count,free_parameter_count,description,grid_id,elpd_loo,elpd_loo_se,selection_criterion
greedy_incremental_stop,1.0,0.75,,,,0.37313031244519307,0.3369531217129496,0.2876821690823677,0.082761030407936,0.07817102224553996,0.06363794132795735,0.010854313381281478,0.1113160043911381,0.06874350621145243,2,2,current local first-word choice with continuation/stop competition,198,,,condition_abs_zrdc_residual
global_full_utterance,1.0,0.25,,,,0.4050057445871505,0.38021575390682716,1.4956141443877432e-08,2.236861668892681e-16,0.1778163152556551,0.1438394500542657,0.009396772898144938,0.25953714449237963,0.16258443277227258,2,2,full-utterance RSA comparator,68,,,condition_abs_zrdc_residual
planned_usefulness_mixture,4.0,0.25,0.0,,1.0,0.4050057445871505,0.38021575390682716,2.1151178070701786e-08,4.473723337785361e-16,0.17781631525565514,0.14383945005426574,0.009396772898144924,0.25953714449237963,0.16258443277227258,5,5,convex mixture of greedy local and planned usefulness-order speakers,1922,,,condition_abs_zrdc_residual
planned_usefulness_order,4.0,0.25,0.0,,,0.4050057445871505,0.38021575390682716,2.1151178070701786e-08,4.473723337785361e-16,0.17781631525565514,0.14383945005426574,0.009396772898144924,0.25953714449237963,0.16258443277227258,4,4,planned stop speaker with order prior moderated by referential usefulness,1917,,,condition_abs_zrdc_residual
planned_usefulness_signed_order,4.0,0.25,,0.0,,0.4050057445871505,0.38021575390682716,2.1151178070701786e-08,4.473723337785361e-16,0.17781631525565514,0.14383945005426574,0.009396772898144924,0.25953714449237963,0.16258443277227258,4,4,planned stop speaker whose usefulness adjustment can reward colour-initial order,1971,,,condition_abs_zrdc_residual
planned_incremental_stop,4.0,0.25,,,,0.4050057445871505,0.38021575390682716,2.1151178070701786e-08,4.473723337785361e-16,0.17781631525565514,0.14383945005426574,0.009396772898144924,0.25953714449237963,0.16258443277227258,3,3,first-word choice uses soft value of stopping or continuing,1915,,,condition_abs_zrdc_residual
planned_usefulness_mixture,1.0,1.0,6.0,,0.5,0.367026066174994,0.3197364415462332,0.2874899807070088,0.08265048900691631,0.037981183737343265,0.028634890385035392,0.010098403692778321,0.04569117621419487,0.030115091248132983,5,5,convex mixture of greedy local and planned usefulness-order speakers,312,,,condition_rmse
planned_usefulness_order,2.0,1.0,3.0,,,0.3672165604305224,0.32047022506642303,0.28744895013371385,0.08262689893297431,0.04060482666960592,0.03191162140366558,0.010725163758114484,0.058179731657336066,0.026829968795546198,4,4,planned stop speaker with order prior moderated by referential usefulness,1221,,,condition_rmse
planned_usefulness_signed_order,2.0,1.0,,3.0,,0.3672165604305224,0.32047022506642303,0.28744895013371385,0.08262689893297431,0.04060482666960592,0.03191162140366558,0.010725163758114484,0.058179731657336066,0.026829968795546198,4,4,planned stop speaker whose usefulness adjustment can reward colour-initial order,1250,,,condition_rmse
greedy_incremental_stop,1.5,1.0,,,,0.36747700542459094,0.3202311194232196,0.2874969700704489,0.08265450779968858,0.0417895353167151,0.035206566499431,0.028733885488658316,0.04746025030552962,0.029425563704105068,2,2,current local first-word choice with continuation/stop competition,726,,,condition_rmse
global_full_utterance,3.0,0.25,,,,0.38230456771460974,0.338602569949458,,,0.11449198353729254,0.10481050208739519,0.12631432557672329,0.14253494620278492,0.04558223448267738,2,2,full-utterance RSA comparator,1454,,,condition_rmse
planned_incremental_stop,3.0,0.75,,,,0.38230456771460974,0.338602569949458,,,0.11449198353729254,0.10481050208739519,0.12631432557672329,0.1425349462027849,0.04558223448267738,3,3,first-word choice uses soft value of stopping or continuing,1585,,,condition_rmse
