variant,alpha,order_bias,usefulness_order_scale,signed_order_scale,planned_mixture_weight,observation_rmse,observation_mae,observation_correlation,observation_r2,condition_rmse,condition_mae,condition_abs_zrdc_residual,condition_abs_erdc_residual,condition_abs_brdc_residual,mechanism_count,free_parameter_count,description,grid_id,elpd_loo,elpd_loo_se,grid_pareto_frontier
planned_usefulness_mixture,1.0,1.0,6.0,,0.5,0.367026066174994,0.3197364415462332,0.2874899807070088,0.08265048900691631,0.037981183737343265,0.028634890385035392,0.010098403692778321,0.04569117621419487,0.030115091248132983,5,5,convex mixture of greedy local and planned usefulness-order speakers,312,,,True
planned_usefulness_mixture,1.0,1.0,8.0,,0.5,0.3671199309657118,0.31946118691063463,0.2853572772024967,0.08142877565242254,0.038095374623531124,0.028710707999033535,0.010098403692778321,0.03669111458789904,0.039342605716423236,5,5,convex mixture of greedy local and planned usefulness-order speakers,318,,,True
planned_usefulness_mixture,1.5,1.0,2.0,,0.25,0.3671482332509207,0.3202639819158045,0.287547747202233,0.08268370692107928,0.03947499314223866,0.030792490796629834,0.011352851261792809,0.0527647847399431,0.028259836388153593,5,5,convex mixture of greedy local and planned usefulness-order speakers,755,,,True
planned_usefulness_mixture,1.5,1.0,1.5,,0.25,0.3671579693763004,0.32026722082323117,0.2875450607817067,0.08268216197995541,0.03970521163738174,0.03113679031580359,0.011294462680842665,0.05410795460642166,0.028007953660146433,5,5,convex mixture of greedy local and planned usefulness-order speakers,749,,,True
planned_usefulness_mixture,1.0,1.0,4.0,,0.5,0.36713577211459836,0.3202397791567719,0.28786250403886593,0.08286482123152611,0.039746369209582355,0.030986000583526015,0.010098419241189847,0.05535734412404493,0.027502238385343276,5,5,convex mixture of greedy local and planned usefulness-order speakers,306,,,True
planned_usefulness_mixture,1.5,1.0,3.0,,0.75,0.3671877607524825,0.3204043838725503,0.2875233520405836,0.08266967796865338,0.0400912888187061,0.031317732071035755,0.010974467371036929,0.05549986131938441,0.027478867522685926,5,5,convex mixture of greedy local and planned usefulness-order speakers,763,,,True
planned_usefulness_mixture,1.5,1.0,3.0,,0.5,0.3672215852234027,0.3203421406420947,0.2875495886640779,0.08268476594088041,0.040121899524116995,0.03173289941284487,0.014250941007276117,0.05281999098143286,0.028127766249825617,5,5,convex mixture of greedy local and planned usefulness-order speakers,762,,,True
planned_usefulness_mixture,1.0,1.0,6.0,,0.75,0.3673681194209415,0.31965576564233555,0.28726757915454737,0.08252266203331414,0.04032465833892932,0.033493297246717825,0.025486712456504364,0.0371858121554524,0.03780736712819671,5,5,convex mixture of greedy local and planned usefulness-order speakers,313,,,True
planned_usefulness_order,2.0,1.0,3.0,,,0.3672165604305224,0.32047022506642303,0.28744895013371385,0.08262689893297431,0.04060482666960592,0.03191162140366558,0.010725163758114484,0.058179731657336066,0.026829968795546198,4,4,planned stop speaker with order prior moderated by referential usefulness,1221,,,True
planned_usefulness_signed_order,2.0,1.0,,3.0,,0.3672165604305224,0.32047022506642303,0.28744895013371385,0.08262689893297431,0.04060482666960592,0.03191162140366558,0.010725163758114484,0.058179731657336066,0.026829968795546198,4,4,planned stop speaker whose usefulness adjustment can reward colour-initial order,1250,,,True
planned_usefulness_order,1.0,1.0,3.0,,,0.3672165604305224,0.32047022506642303,0.287448950133715,0.08262689893297498,0.04060482666960594,0.031911621403665595,0.010725163758114501,0.05817973165733609,0.02682996879554619,4,4,planned stop speaker with order prior moderated by referential usefulness,297,,,True
