variant,observation_rmse,observation_mae,observation_correlation,observation_r2,condition_rmse,condition_mae,condition_abs_zrdc_residual,condition_abs_erdc_residual,condition_abs_brdc_residual,observation_abs_zrdc_residual,observation_abs_erdc_residual,observation_abs_brdc_residual,mechanism_count,free_parameter_count,description,elpd_loo,elpd_loo_se
planned_usefulness_order,0.3772832048759833,0.28848174495515605,0.28463144018280745,0.08101505674053909,0.0958301972984415,0.08940584602894154,0.05283461000080748,0.09925069982233323,0.11613222826368391,0.409094967360164,0.17934907788669233,0.26882179397449396,4,4,planned stop speaker with order prior moderated by referential usefulness,,
greedy_incremental_stop,0.40590240916307907,0.287975704499397,0.2873400611386707,0.08256431073517503,0.17621903698037691,0.15822558412266205,0.2563871437011326,0.07368729184376499,0.14460231682308858,0.40628831128377996,0.1849821484387584,0.2648340713228411,2,2,current local first-word choice with continuation/stop competition,,
global_full_utterance,0.4237900268531307,0.2916608875668551,0.0023678639781976704,5.606779819246098e-06,0.21319316123409815,0.18101742709957594,0.32793270437921196,0.059083432599703986,0.1560361443198119,0.4140605659029179,0.18924895950729076,0.26378518239058824,2,2,full-utterance RSA comparator,,
planned_incremental_stop,0.4237900268531307,0.29166088756685504,0.0014010669149804073,1.962988500252716e-06,0.21319316123409815,0.18101742709957594,0.32793270437921196,0.059083432599703986,0.1560361443198119,0.41406056590291795,0.18924895950729076,0.26378518239058824,3,3,first-word choice uses soft value of stopping or continuing,,
