variant,conditions,relevant_property,sharpness,human_mean,pred_mean,pred_min,pred_max,signed_residual_mean,abs_residual_mean,first_step_size_mean,continue_after_size_mean,continue_after_colour_mean,effective_order_bias_mean,n,rmse
global_full_utterance,brdc,both,blurred,0.7456020066889633,0.8807970779778823,0.8807970779778823,0.8807970779778825,0.1351950712889191,0.2422509827101397,,,,2.0,598,0.3614477629713453
global_full_utterance,brdc,both,sharp,0.7039198606271777,0.8807970779778824,0.8807970779778823,0.8807970779778825,0.17687721735070466,0.28621976672666527,,,,2.0,574,0.4186005930327804
global_full_utterance,erdc,first,blurred,0.8004220183486239,0.8807970779778824,0.8807970779778823,0.8807970779778825,0.08037505962925849,0.20050033658008332,,,,2.0,545,0.3094321072410784
global_full_utterance,erdc,first,sharp,0.8430052724077329,0.8807970779778823,0.8807970779778823,0.8807970779778825,0.03779180557014948,0.1784721572143699,,,,2.0,569,0.27850409622213806
global_full_utterance,zrdc,second,blurred,0.5622611464968154,0.8807970779778823,0.8807970779778823,0.8807970779778825,0.318535931481067,0.40263638432698384,,,,2.0,628,0.5278460872538356
global_full_utterance,zrdc,second,sharp,0.5434676007005254,0.8807970779778823,0.8807970779778823,0.8807970779778823,0.3373294772773569,0.42662516490412034,,,,2.0,571,0.555031587090869
greedy_incremental_stop,brdc,both,blurred,0.7456020066889633,0.8664911670144504,0.8594139314340303,0.874272219700609,0.12088916032548727,0.24324050421078258,0.44685315478039256,0.6324760710581914,0.5815727240956164,2.0,598,0.3564279684171607
greedy_incremental_stop,brdc,both,sharp,0.7039198606271777,0.8722353339478676,0.8682786594447345,0.8759894534725567,0.16831547332068988,0.28733050535247695,0.46817062592181174,0.6358609930476063,0.6058232792011875,2.0,574,0.41520940726313765
greedy_incremental_stop,erdc,first,blurred,0.8004220183486239,0.8945245574882824,0.8883695337962588,0.9011443997543661,0.0941025391396585,0.1980516236536027,0.5613339272249235,0.52843907724987,0.5891192791985355,2.0,545,0.3132688055328819
greedy_incremental_stop,erdc,first,sharp,0.8430052724077329,0.8962773169556043,0.8914487520316243,0.9005207490137013,0.05327204454787147,0.17246393404141191,0.5690684570920613,0.528906552807964,0.5972036751037902,2.0,569,0.28103810661340994
greedy_incremental_stop,zrdc,second,blurred,0.5622611464968154,0.8083363357496478,0.8008389079721813,0.815391000328282,0.2460751892528325,0.3933759357920349,0.28859426237022273,0.7218808613508473,0.5128066648402313,2.0,628,0.4875516200622121
greedy_incremental_stop,zrdc,second,sharp,0.5434676007005254,0.810166698849958,0.8056739945699068,0.815391000328282,0.26669909814943266,0.42048966296296714,0.29269972592501176,0.7204787208584604,0.5160852361023505,2.0,571,0.515171488999455
planned_incremental_stop,brdc,both,blurred,0.7456020066889633,0.8807970779778823,0.8807970779778823,0.8807970779778825,0.13519507128891914,0.2422509827101397,0.6490365042559784,0.6324760710581914,0.15847587634067792,2.0,598,0.3614477629713453
planned_incremental_stop,brdc,both,sharp,0.7039198606271777,0.8807970779778824,0.8807970779778823,0.8807970779778825,0.17687721735070466,0.28621976672666527,0.6667464439060921,0.6358609930476063,0.17230365372327394,2.0,574,0.41860059303278035
planned_incremental_stop,erdc,first,blurred,0.8004220183486239,0.8807970779778824,0.8807970779778823,0.8807970779778825,0.08037505962925849,0.20050033658008332,0.6943453091156438,0.52843907724987,0.16275751623040402,2.0,545,0.3094321072410784
planned_incremental_stop,erdc,first,sharp,0.8430052724077329,0.8807970779778823,0.8807970779778823,0.8807970779778825,0.03779180557014948,0.1784721572143699,0.7001082433167182,0.528906552807964,0.16718826776749646,2.0,569,0.27850409622213806
planned_incremental_stop,zrdc,second,blurred,0.5622611464968154,0.8807970779778823,0.8807970779778823,0.8807970779778825,0.318535931481067,0.4026363843269839,0.5606702573883192,0.7218808613508473,0.12472148673183951,2.0,628,0.5278460872538356
planned_incremental_stop,zrdc,second,sharp,0.5434676007005254,0.8807970779778823,0.8807970779778823,0.8807970779778825,0.3373294772773569,0.42662516490412034,0.563983593924382,0.7204787208584604,0.1261439261153402,2.0,571,0.555031587090869
planned_usefulness_order,brdc,both,blurred,0.7456020066889633,0.8305510312385633,0.8046262955157908,0.8582360187753503,0.08494902454960018,0.24799266032075115,0.6313069042787529,0.6324760710581914,0.22068210955609435,1.5918537223742077,598,0.34624377363902326
planned_usefulness_order,brdc,both,sharp,0.7039198606271777,0.8512352926049452,0.8369005012989583,0.8643812300771424,0.14731543197776764,0.29052183217125044,0.6558300138130839,0.6358609930476063,0.21161104929494468,1.7454354498764937,574,0.4076073039417778
planned_usefulness_order,erdc,first,blurred,0.8004220183486239,0.9186647051262594,0.9023440845908718,0.9346118787998537,0.11824268677763564,0.19487456485437382,0.7065378563345762,0.52843907724987,0.11231609319348976,2.4300147861438997,545,0.3213749676029478
planned_usefulness_order,erdc,first,sharp,0.8430052724077329,0.9232639852747637,0.9105139483509407,0.9344246955785256,0.08025871286703083,0.16447844449937,0.7139260271657412,0.528906552807964,0.10958029741041415,2.490311406089829,569,0.2874693752139672
planned_usefulness_order,zrdc,second,blurred,0.5622611464968154,0.5000297014042576,0.4999999999999999,0.500810977472774,-0.062231445092557625,0.3996879854894329,0.4153344653661463,0.7218808613508473,0.5127770372162276,0.00011880572121290287,628,0.42548338005504144
planned_usefulness_order,zrdc,second,sharp,0.5434676007005254,0.500029825791468,0.49999999999999994,0.500810977472774,-0.04343777490905734,0.4194409999605478,0.41736309156726104,0.7204787208584604,0.5160554844001225,0.0001193032704908066,571,0.442896383713473
