model,speaker_type,total_heldout_elpd,mean_fold_elpd,se_fold_elpd,n_heldout,n_folds,n_parameters,max_r_hat,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,n_divergent,n_draws,divergence_rate,diagnostic_status,diagnostics_ok
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,-2846.4451293945312,-569.2890258789063,11.012258714662787,3485,5,277,1.0,0,0,1414.0,683.0,0,40000,0.0,pass,True
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,-2846.492431640625,-569.298486328125,11.020406305906214,3485,5,277,1.0,0,0,1881.0,844.0,0,40000,0.0,pass,True
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_rec,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_rec,-2943.2521362304688,-588.6504272460937,9.164774053653451,3485,5,277,1.0,0,0,5498.0,2496.0,0,40000,0.0,pass,True
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_static,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_static,-2943.25732421875,-588.65146484375,9.16345464938901,3485,5,277,1.0,0,0,5810.0,2775.0,0,40000,0.0,pass,True
