model,speaker_type,total_heldout_elpd,mean_fold_elpd,se_fold_elpd,n_heldout,n_folds,n_parameters,max_r_hat,n_r_hat_gt_1_01,n_r_hat_gt_1_05,min_ess_bulk,min_ess_tail,n_divergent,n_draws,divergence_rate,diagnostic_status,diagnostics_ok,scope,n_points,ppc_r,ppc_r2,ppc_mae,ppc_rmse,slope,intercept
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_static,-2846.4451293945312,-569.2890258789063,11.012258714662787,3485,5,277,1.0,0,0,1414.0,683.0,0,40000,0.0,pass,True,all_cells,6,0.9537362342390516,0.9096128045004872,0.0708574464852602,0.0759642113051878,0.3423939455270994,0.4484467950418123
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_inc_rec,-2846.492431640625,-569.298486328125,11.020406305906214,3485,5,277,1.0,0,0,1881.0,844.0,0,40000,0.0,pass,True,all_cells,6,0.9535733845074011,0.9093021996409,0.0709130377506207,0.0760454972277273,0.3414998889107178,0.4491731695192179
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_rec,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_rec,-2943.2521362304688,-588.6504272460937,9.164774053653451,3485,5,277,1.0,0,0,5498.0,2496.0,0,40000,0.0,pass,True,all_cells,6,0.9872557595102728,0.9746739346862052,0.0698819071983288,0.0769582212597841,0.3385859072448046,0.4445158420295217
production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_static,production_anchor_reliabilitybackup_orderplan_logalpha_2x2_glob_static,-2943.25732421875,-588.65146484375,9.16345464938901,3485,5,277,1.0,0,0,5810.0,2775.0,0,40000,0.0,pass,True,all_cells,6,0.9872289001583489,0.9746209013078632,0.0698905896082511,0.0769812651306565,0.3382555585075111,0.444801770154224
